CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,Source,Geocoded_Location,Location 1
"101,000,999,411",1/6/2014 0:00,1/7/2014 0:00,Closed,Case Closed Case Resolved at that  location roadway patch and made safe by DIST#4 PATCH CREW,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,120 Cambridge St  Allston  MA  02134,11,4,9,D14,Allston,15,22,"2,201",CL,120 Cambridge St,"2,134",Address,"341,774",Citizens Connect App,"42.358, -71.1213","42.358, -71.1213"
"101,001,004,934",1/14/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved Marked completed at case creation,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,465-475 Cambridge St  Allston  MA  02134,11,4,9,D14,Allston,15,22,"2,202",I,465-475 Cambridge St,"2,134",Address,"25,141",City Worker App,"42.3541, -71.1366","42.3541, -71.1366"
"101,001,005,784",1/15/2014 0:00,1/15/2014 0:00,Closed,Case Closed Case Resolved at that location no pot in roadway at that location,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,285-291 Western Ave  Allston  MA  02134,11,4,9,D14,Allston,15,22,"2,201",C,285-291 Western Ave,"2,134",Address,"148,180",Citizens Connect App,"42.3638, -71.1344","42.3638, -71.1344"
"101,001,005,825",1/15/2014 0:00,1/15/2014 0:00,Closed,Case Closed Case Resolved Marked completed at case creation,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,285-291 Western Ave  Allston  MA  02134,11,4,9,D14,Allston,15,22,"2,201",C,285-291 Western Ave,"2,134",Address,"148,180",City Worker App,"42.3638, -71.1344","42.3638, -71.1344"
"101,001,007,753",1/17/2014 0:00,1/17/2014 0:00,Closed,Case Closed Case Resolved Marked completed at case creation,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,465-475 Cambridge St  Allston  MA  02134,11,4,9,D14,Allston,15,22,"2,202",I,465-475 Cambridge St,"2,134",Address,"25,141",City Worker App,"42.3541, -71.1366","42.3541, -71.1366"
"101,001,042,615",3/7/2014 0:00,3/7/2014 0:00,Closed,Case Closed Case Resolved Marked completed at case creation,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,9-15 Redford St  Allston  MA  02134,11,4,9,D14,Allston,15,21,"2,108",CM,9-15 Redford St,"2,134",Address,"169,041",City Worker App,"42.3473, -71.1349","42.3473, -71.1349"
"101,001,042,622",3/7/2014 0:00,3/7/2014 0:00,Closed,Case Closed Case Resolved Marked completed at case creation,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,9-15 Redford St  Allston  MA  02134,11,4,9,D14,Allston,15,21,"2,108",CM,9-15 Redford St,"2,134",Address,"169,041",City Worker App,"42.3473, -71.1349","42.3473, -71.1349"
"101,000,912,897",8/29/2013 0:00,1/17/2014 0:00,Closed,Case Closed Case Resolved PATCHED ALL SET ON ARRIVAL 1/16,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,INTERSECTION of Allston St & Commonwealth Ave  Allston  MA,11,4,9,D14,Allston,15,Ward 21,"2,108",,INTERSECTION Allston St & Commonwealth Ave,,Intersection,316,Citizens Connect App,"42.3483, -71.1378","42.3483, -71.1378"
"101,000,971,835",11/25/2013 0:00,1/21/2014 0:00,Closed,Case Closed Case Resolved FOUND THE CB IN THE ATTCHED PICTURE. IT'S A STATE OWNED CB ON A ROAD NEXT TO HOUGHTON CHEMICAL COMPANY. THE CB IS FULL TO THE TOP WITH DIRT & GRAVEL IT'S BEEN PATCHED AROUND  NO VISBILE HOLES  CB LOCATION ABOUT 250' FROM ENTRANCE TO DOUBLE TREE HOTEL ON CAMBRIDGE ST. 1/17,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,4,9,D14,Allston,15,Ward 22,"2,201",,INTERSECTION Cambridge St & Soldiers Field Rd,,Intersection,"2,359",Citizens Connect App,"42.3609, -71.1177","42.3609, -71.1177"
"101,000,998,430",1/5/2014 0:00,1/6/2014 0:00,Closed,Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#4 PATCH CREW,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,INTERSECTION of Brock St & Lake St  Brighton  MA,11,4,9,D14,Allston,15,Ward 22,"2,210",,INTERSECTION Brock St & Lake St,,Intersection,"2,007",Constituent Call,"42.3489, -71.1605","42.3489, -71.1605"
"101,000,998,614",1/5/2014 0:00,1/6/2014 0:00,Closed,Case Closed Case Resolved at that location roadway patch and made safe by DIST#4 PATCH CREW,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,600 Washington St  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 22,"2,207",C,600 Washington St,"2,135",Address,"156,134",Constituent Call,"42.3504, -71.167","42.3504, -71.167"
"101,000,999,002",1/6/2014 0:00,1/6/2014 0:00,Closed,Case Closed Case Resolved at that location roadway patch and made safe by dist#4 patch crew,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,4,9,D14,Allston,15,Ward 22,"2,201",,INTERSECTION Cambridge St & Soldiers Field Rd,,Intersection,"2,359",Self Service,"42.3609, -71.1177","42.3609, -71.1177"
"101,001,000,970",1/8/2014 0:00,1/9/2014 0:00,Closed,Case Closed Case Resolved at that location roadway patch and made safe by DIST#4 PATCH CREW,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,INTERSECTION of Brock St & Oakland St  Brighton  MA,11,4,9,D14,Allston,15,Ward 22,"2,210",,INTERSECTION Brock St & Oakland St,,Intersection,"2,009",Citizens Connect App,"42.3521, -71.1603","42.3521, -71.1603"
"101,001,002,921",1/11/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved done,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,154 Kilsyth Rd  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 21,"2,112",R3,154 Kilsyth Rd,"2,135",Address,"166,761",Citizens Connect App,"42.339, -71.1465","42.339, -71.1465"
"101,001,002,924",1/11/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved done,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,132 Kilsyth Rd  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 21,"2,112",R2,132 Kilsyth Rd,"2,135",Address,"81,610",Citizens Connect App,"42.3398, -71.1469","42.3398, -71.1469"
"101,001,002,926",1/11/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#4 CREW,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,115 Kilsyth Rd  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 21,"2,112",A,115 Kilsyth Rd,"2,135",Address,"81,588",Citizens Connect App,"42.3405, -71.1467","42.3405, -71.1467"
"101,001,002,929",1/11/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved done,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,84 Lanark Rd  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 21,"2,114",R2,84 Lanark Rd,"2,135",Address,"83,804",Citizens Connect App,"42.3405, -71.1474","42.3405, -71.1474"
"101,001,003,616",1/13/2014 0:00,1/14/2014 0:00,Closed,Case Closed Case Resolved done,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx,75 Cresthill Rd  Brighton  MA  02135,11,4,9,D14,Allston,15,Ward 22,"2,211",R1,75 Cresthill Rd,"2,135",Address,"44,336",City Worker App,"42.3559, -71.1579","42.3559, -71.1579"
